tract,white,black,asian
2.01,1069,484,697
2.02,4610,1035,693
6,2179,1063,5172
8,2689,,6353
10.02,3335,1805,
15.01,2965,,452
16,832,,6761
18,2069,,3273
20,1971,1425,
22.01,2211,1195,902
24,2184,1350,
25,1631,983,1817
26.01,1096,403,
27,647,,706
28,2454,935,412
29,810,,4960
30.02,1648,433,
32,6810,510,
34,4138,543,
36.02,1754,998,
38,6586,416,674
39,2807,510,
40,5189,526,645
41,2751,,5541
43,2644,,976
44.01,13934,862,1265
48,5780,505,678
66,8883,1111,780
83,2670,416,
89,4870,416,
90,5200,,457
91,3394,428,
93,7285,754,
97,3533,481,
121,6058,907,428
127,5023,498,
133,3204,403,
135,2442,548,
136,13919,,418
139,8177,720,439
151,1699,2310,
152,4042,411,
154,8550,1005,423
156.02,704,640,
157,10841,464,
159,8796,504,
162,1466,6808,
164,1449,,
165,5575,611,
166,2179,1616,
167,6225,446,
168,2123,1722,
169,7181,1105,
170,1833,2713,466
171,7932,737,
172.01,1308,1221,
173,6717,1086,
174.01,1024,2343,
175,8846,950,
177,6475,2029,
178,1427,707,
179,7646,1215,
180,1933,2323,
181,6095,2286,
182,1282,3451,
183,6027,1705,
184,818,3922,
185,2336,1469,
186,,4897,
187,6371,1873,
188,1743,858,
189,3253,5109,
190,,1361,
191,6503,1997,
192,757,2340,
193,1855,2646,
194,1263,2561,
195,5651,1101,
196,499,1987,
197.02,,1131,
198,,1343,
199,6763,1027,820
200,,3236,
201.02,,2345,
203,2043,454,
204,,1277,
206,,2707,
207.02,,2271,
208,,4059,
209.01,,2987,
209.02,,1481,
210,,7156,
211,4857,4232,731
212,,4416,
213.01,,3249,
213.02,,639,
214,,3305,
216,,5813,
217.01,,498,
217.02,,2158,
218,,4734,
219,917,3621,
220,,4134,
221.01,,562,
221.02,,1958,
222,,1884,
223,2691,3027,
224,,6745,
225,2109,3655,
226,,2866,
227.01,,4234,
227.02,,659,
228,,5158,
229,800,4080,
230,,7479,
231.01,,5292,
231.01,,1128,
232,,6408,
233,,4488,
234,,3723,
235.01,,4460,
235.02,,1534,
236,,6935,
237,558,3946,
238,4982,1427,
239,,2171,
240,653,607,
241,1397,4341,
243.01,,2848,
243.02,,7262,
245,3097,3771,
247,2100,1639,
249,,565,
251,727,476,
253,3489,946,424
255,4017,435,
261,1742,1693,
263,3131,1500,
269,2735,964,
277,2426,460,
279,3892,887,
283,3838,980,
285,2009,504,
289,1032,1750,
291,3287,1189,
293,2740,733,
309,2501,2681,
