GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA,TOTAL_POP
G36005903004198,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,3004,198,0
G36005903004199,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,3004,199,0
G3600590303102102,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,303102,102,19
G36005904047825,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4047,825,23
G36005904050209,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4050,209,0
G3600590405301716,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,405301,716,4
G3600590406202506,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,406202,506,0
G3600590406202605,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,406202,605,0
G36005904063301,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4063,301,21
G36005904063317,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4063,317,28
G36005904063418,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4063,418,46
G36005904063420,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4063,420,7
G3600590411302205,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,411302,205,142
G3600590411302206,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,411302,206,74
G36005904120713,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4120,713,0
G3600590412301315,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,412301,315,7
G3600590414502207,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,414502,207,0
G3600590416202422,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,416202,422,0
G36005905171410,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,5171,410,231
G3600590517701331,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,517701,331,4
G3600590517704123,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,517704,123,1486
G3600590518202238,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,518202,238,201
G3600590518202239,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,518202,239,574
G3600590520002627,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,520002,627,0
G36005905206213,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,5206,213,79
G3600590521601215,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,521601,215,39
G3601030112206317,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,112206,317,0
G3601030122502623,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,122502,623,27
G3601030122902118,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,122902,118,147
G3601030123002223,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123002,223,0
G3601030123102220,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123102,220,54
G3601030123301202,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123301,202,0
G3601030123401242,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123401,242,0
G3601030124602114,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,124602,114,5
G3601030124602405,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,124602,405,9
G36010301348910,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1348,910,0
G3601030135204230,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,135204,230,38
G3601030145701119,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145701,119,114
G3601030145701301,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145701,301,0
G3601030145701302,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145701,302,0
G3601030145701303,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145701,303,0
G3601030145701304,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145701,304,0
G3601030145701920,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145701,920,5
G3601030145803120,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145803,120,47
G3601030145803121,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145803,121,0
G3601030145803301,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145803,301,42
G3601030145803313,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145803,313,193
G3601030145805543,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145805,543,106
G3601030145806713,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145806,713,0
G3601030145806831,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145806,831,16
G3601030145806832,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145806,832,63
G3601030145806899,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145806,899,38
G3601030146002298,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146002,298,98
G3601030146003109,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146003,109,46
G3601030146003330,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146003,330,7
G3601030146103230,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146103,230,0
G3601030146104327,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146104,327,0
G3601030146104332,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146104,332,4
G3601030146105127,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146105,127,44
G3601030146105195,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146105,195,469
G3601030146202229,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146202,229,58
G3601030146204125,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146204,125,123
G3601030146204126,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146204,126,114
G3601030146204127,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146204,127,49
G3601030146204128,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146204,128,0
G3601030146204135,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146204,135,171
G36010301463125,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1463,125,0
G3601030146402186,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146402,186,16
G36010301465415,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1465,415,36
G3601030146606522,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146606,522,142
G3601030146609345,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146609,345,46
G3601030146609443,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146609,443,2
G3601030146705224,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146705,224,52
G3601030146705226,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,146705,226,62
G3601030147002125,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,147002,125,41
G36010301471326,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1471,326,36
G36010301472503,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1472,503,109
G36010301472621,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1472,621,0
G3601030147399200,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,147399,200,7
G3601030147602215,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,147602,215,37
G3601030158001325,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158001,325,77
G3601030158001326,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158001,326,41
G3601030158002414,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158002,414,10
G3601030158002426,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158002,426,26
G3601030158002622,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158002,622,29
G3601030158006197,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158006,197,79
G3601030158006253,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158006,253,67
G3601030158113137,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158113,137,48
G3601030158204298,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158204,298,21
G3601030158204525,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158204,525,0
G3601030158204611,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158204,611,81
G3601030158299100,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158299,100,0
G3601030158306945,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158306,945,108
G3601030158308299,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158308,299,49
G3601030158502206,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158502,206,14
G3601030158502516,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158502,516,0
G3601030158507232,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158507,232,0
G3601030158604101,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158604,101,0
G3601030158604348,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158604,348,42
G3601030158705217,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158705,217,5
G3601030158707914,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158707,914,0
G3601030158710533,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,158710,533,13
G3601030159203414,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159203,414,3
G3601030159405598,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159405,598,40
G3601030159405599,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159405,599,21
G3601030159502608,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159502,608,12
G3601030159502667,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159502,667,0
G3601030159502919,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159502,919,0
G3601030159505833,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159505,833,0
G3601030159505904,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,159505,904,0
G36010301699715,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1699,715,103
G3601030190701108,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,190701,108,6
G3601030190703265,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,190703,265,1
G36010302009628,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,2009,628,1
G3601030201001589,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,201001,589,0
G3601030201002250,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,201002,250,22
G3601030201099200,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,201099,200,9
G36000500005901,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0005,901,0
G36000500005902,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0005,902,0
G3600050008199100,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,008199,100,0
G3600050008199200,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,008199,200,162
G36000500138102,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0138,102,17
G36000500160213,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0160,213,13
G3600050036901106,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,036901,106,22
G36000500504901,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0504,901,0
G36000500504903,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0504,903,0
G36000500504916,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0504,916,0
G3600470001899100,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,001899,100,57
G3600470002199100,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,002199,100,0
G3600470005599100,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,005599,100,0
G36004700063207,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0063,207,54
G36004700443103,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0443,103,516
G36004700443303,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0443,303,302
G36004700508102,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0508,102,1175
G36004700508103,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0508,103,762
G36004700513403,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0513,403,0
G36004700513406,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0513,406,71
G36004700539111,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0539,111,146
G3600470054399200,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,054399,200,0
G3600470057799100,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,057799,100,0
G36004700616103,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0616,103,131
G36004700682101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0682,101,2
G36004700910107,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0910,107,0
G36004700918107,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0918,107,9
G3600610000202304,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,000202,304,0
G3600610000202307,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,000202,307,0
