GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA
G36000500020907,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0020,907
G3600050005301903,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,005301,903
G3600050005301931,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,005301,931
G3600050005302104,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,005302,104
G36000500057921,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0057,921
G36000500058502,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0058,502
G36000500081201,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0081,201
G36000500094303,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0094,303
G36000500219403,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0219,403
G36000500228104,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0228,104
G36000500296901,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0296,901
G36000500296907,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0296,907
G36000500322201,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0322,201
G36000500329113,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0329,113
G36000500502103,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,005,0502,103
G36004700021103,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0021,103
G36004700021208,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0021,208
G36004700021209,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0021,209
G36004700063206,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0063,206
G36004700164102,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0164,102
G36004700483402,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0483,402
G36004700934302,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,0934,302
G36004701196112,New York,36,"NEW YORK, N.Y.-N.J.",5600,Kings,047,1196,112
G36005500002309,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,0002,309
G3600550007802101,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,007802,101
G3600550007802502,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,007802,502
G3600550007802608,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,007802,608
G3600550007802609,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,007802,609
G36005500081103,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,0081,103
G36005500091309,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,0091,309
G36005500095222,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,0095,222
G3600550009601213,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,009601,213
G3600550011703308,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,011703,308
G36005500121101,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,0121,101
G3600550013001514,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,013001,514
G3600550013202118,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,013202,118
G3600550014502218,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,014502,218
G36005500147730,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,0147,730
G3600550014804208,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,014804,208
G3600550014901113,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,014901,113
G3600550014901114,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,014901,114
G3600550015301308,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,015301,308
G3600550015301314,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,015301,314
G36005500154314,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,0154,314
G36005500154905,New York,36,"ROCHESTER, N.Y.",6840,Monroe,055,0154,905
G36005903001513,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,3001,513
G36005903004319,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,3004,319
G36005903009417,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,3009,417
G3600590302101105,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,302101,105
G36005903023911,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,3023,911
G36005903036225,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,3036,225
G36005904061622,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4061,622
G3600590406502621,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,406502,621
G36005904081111,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4081,111
G3600590412301712,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,412301,712
G36005904144512,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4144,512
G36005904161943,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,4161,943
G3600590416201125,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Nassau,059,416201,125
