ZIP Code,HUD Area Code,HUD Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
12007,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,090",$981,"$1,199","$1,250","$1,125","$1,375","$1,510","$1,359","$1,661","$1,820","$1,638","$2,002","$2,000","$1,800","$2,200"
12008,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,090",$981,"$1,199","$1,240","$1,116","$1,364","$1,500","$1,350","$1,650","$1,810","$1,629","$1,991","$1,990","$1,791","$2,189"
12009,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,100",$990,"$1,210","$1,260","$1,134","$1,386","$1,520","$1,368","$1,672","$1,830","$1,647","$2,013","$2,020","$1,818","$2,222"
12010,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$910,$819,"$1,001","$1,020",$918,"$1,122","$1,240","$1,116","$1,364","$1,500","$1,350","$1,650","$1,650","$1,485","$1,815"
12018,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,190","$1,071","$1,309","$1,360","$1,224","$1,496","$1,650","$1,485","$1,815","$1,990","$1,791","$2,189","$2,190","$1,971","$2,409"
12019,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,110",$999,"$1,221","$1,270","$1,143","$1,397","$1,530","$1,377","$1,683","$1,840","$1,656","$2,024","$2,030","$1,827","$2,233"
12020,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,330","$1,197","$1,463","$1,520","$1,368","$1,672","$1,840","$1,656","$2,024","$2,220","$1,998","$2,442","$2,440","$2,196","$2,684"
12022,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,110",$999,"$1,221","$1,270","$1,143","$1,397","$1,530","$1,377","$1,683","$1,840","$1,656","$2,024","$2,030","$1,827","$2,233"
12023,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$920,$828,"$1,012","$1,060",$954,"$1,166","$1,280","$1,152","$1,408","$1,540","$1,386","$1,694","$1,700","$1,530","$1,870"
12024,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,100",$990,"$1,210","$1,200","$1,080","$1,320","$1,430","$1,287","$1,573","$1,720","$1,548","$1,892","$1,890","$1,701","$2,079"
12025,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$910,$819,"$1,001","$1,020",$918,"$1,122","$1,240","$1,116","$1,364","$1,500","$1,350","$1,650","$1,650","$1,485","$1,815"
12027,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,570","$1,413","$1,727","$1,800","$1,620","$1,980","$2,180","$1,962","$2,398","$2,630","$2,367","$2,893","$2,890","$2,601","$3,179"
12028,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$980,$882,"$1,078","$1,090",$981,"$1,199","$1,330","$1,197","$1,463","$1,650","$1,485","$1,815","$1,770","$1,593","$1,947"
12031,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$910,$819,"$1,001","$1,020",$918,"$1,122","$1,240","$1,116","$1,364","$1,500","$1,350","$1,650","$1,650","$1,485","$1,815"
12033,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,110",$999,"$1,221","$1,270","$1,143","$1,397","$1,540","$1,386","$1,694","$1,860","$1,674","$2,046","$2,040","$1,836","$2,244"
12035,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$940,$846,"$1,034","$1,070",$963,"$1,177","$1,290","$1,161","$1,419","$1,560","$1,404","$1,716","$1,720","$1,548","$1,892"
12036,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$910,$819,"$1,001","$1,020",$918,"$1,122","$1,240","$1,116","$1,364","$1,500","$1,350","$1,650","$1,650","$1,485","$1,815"
12040,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,060",$954,"$1,166","$1,220","$1,098","$1,342","$1,470","$1,323","$1,617","$1,770","$1,593","$1,947","$1,950","$1,755","$2,145"
