"NAME",Total:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Population of two or more races:,Population of two races:,White; Black or African American,White; American Indian and Alaska Native,White; Asian,White; Native Hawaiian and Other Pacific Islander,White; Some other race,Black or African American; American Indian and Alaska Native,Black or African American; Asian,Black or African American; Native Hawaiian and Other Pacific Islander,Black or African American; Some other race,American Indian and Alaska Native; Asian,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Some other race,Asian; Native Hawaiian and Other Pacific Islander,Asian; Some other race,Native Hawaiian and Other Pacific Islander; Some other race,Population of three races:,White; Black or African American; American Indian and Alaska Native,White; Black or African American; Asian,White; Black or African American; Native Hawaiian and Other Pacific Islander,White; Black or African American; Some other race,White; American Indian and Alaska Native; Asian,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Some other race,White; Asian; Native Hawaiian and Other Pacific Islander,White; Asian; Some other race,White; Native Hawaiian and Other Pacific Islander; Some other race,Black or African American; American Indian and Alaska Native; Asian,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Some other race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; Asian; Some other race,Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Asian; Some other race,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of four races:,White; Black or African American; American Indian and Alaska Native; Asian,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Some other race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; Asian; Some other race,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Asian; Some other race,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Asian; Some other race,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of five races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Asian; Some other race,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander;  Some other race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of six races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race
ZCTA5 10001,"17,310","16,568","10,966","1,691",59,"2,647",11,"1,194",742,674,69,34,98,3,274,27,17,0,60,14,0,4,10,63,1,61,30,4,0,6,2,0,2,3,10,0,3,0,0,0,1,0,0,0,0,0,6,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ZCTA5 10002,"84,870","81,628","22,140","6,430",286,"41,798",52,"10,922","3,242","3,049",238,49,386,7,"1,282",76,71,4,300,90,4,43,252,221,26,140,58,9,0,12,2,1,8,4,16,4,1,0,8,3,6,0,1,6,1,0,25,19,2,4,0,0,0,0,0,0,0,0,0,0,0,0,28,23,5,0,0,0,0,0,0
ZCTA5 10003,"53,673","52,071","41,661","2,368",97,"6,471",61,"1,413","1,602","1,455",211,85,358,16,497,36,44,4,70,15,1,5,29,82,2,128,70,12,1,10,6,0,5,3,13,0,2,1,2,0,3,0,0,0,0,0,14,9,0,2,1,1,0,0,0,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0
ZCTA5 10004,"1,225","1,165",903,73,1,150,4,34,60,55,3,1,10,0,26,0,4,0,1,1,0,2,0,7,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 10005,884,857,595,29,0,202,0,31,27,21,1,0,8,0,10,0,1,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 10006,"1,447","1,402","1,120",96,2,130,2,52,45,43,7,6,7,0,18,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ZCTA5 10007,"3,522","3,426","2,507",445,5,375,2,92,96,85,16,4,32,0,22,1,5,0,3,0,0,0,0,2,0,9,2,2,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ZCTA5 10009,"58,595","55,896","35,169","6,136",310,"5,925",33,"8,323","2,699","2,453",313,106,286,14,"1,032",60,24,9,304,35,7,53,16,147,47,208,101,21,1,30,4,0,10,10,16,0,5,1,6,0,2,0,0,0,0,1,35,14,0,17,1,0,1,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0
ZCTA5 10010,"26,408","25,670","20,583","1,635",30,"2,637",16,769,738,687,64,24,167,14,239,22,20,7,37,7,0,5,5,76,0,45,14,4,0,8,2,1,2,4,8,0,1,0,1,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 10011,"46,669","45,447","38,198","2,542",109,"2,865",36,"1,697","1,222","1,122",174,70,239,7,390,46,23,3,79,6,0,7,8,64,6,93,38,7,1,16,3,1,3,3,12,0,3,0,3,1,1,0,0,1,0,0,7,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
