"GEO_ID","NAME","P008001","P008002","P008003","P008004","P008005","P008006","P008007","P008008","P008009","P008010","P008011","P008012","P008013","P008014","P008015","P008016","P008017","P008018","P008019","P008020","P008021","P008022","P008023","P008024","P008025","P008026","P008027","P008028","P008029","P008030","P008031","P008032","P008033","P008034","P008035","P008036","P008037","P008038","P008039","P008040","P008041","P008042","P008043","P008044","P008045","P008046","P008047","P008048","P008049","P008050","P008051","P008052","P008053","P008054","P008055","P008056","P008057","P008058","P008059","P008060","P008061","P008062","P008063","P008064","P008065","P008066","P008067","P008068","P008069","P008070","P008071",
"8600000US10001","ZCTA5 10001","21102","20301","13722","1897","75","3539","5","1063","801","749","187","39","221","9","131","31","17","4","48","11","0","7","5","34","5","45","16","3","1","9","0","0","0","3","3","1","1","0","2","0","4","0","0","0","2","0","6","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0",
"8600000US10002","ZCTA5 10002","81410","78659","25506","6836","374","37914","32","7997","2751","2527","434","107","553","18","644","86","106","4","219","73","11","80","35","111","46","192","78","22","1","20","10","0","2","6","18","6","3","1","4","0","6","0","3","7","5","0","28","17","0","6","0","0","0","1","0","0","0","2","2","0","0","0","4","1","3","0","0","0","0","0","0",
"8600000US10003","ZCTA5 10003","56024","54240","42794","1977","101","8088","24","1256","1784","1633","260","88","877","18","181","36","35","1","24","9","0","8","33","61","2","140","51","22","1","8","15","0","7","14","11","4","2","1","2","0","2","0","0","0","0","0","8","3","0","0","1","1","0","1","2","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0",
"8600000US10004","ZCTA5 10004","3089","2974","2167","97","8","655","1","46","115","110","20","5","61","0","6","1","4","0","5","0","0","1","2","5","0","5","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"8600000US10005","ZCTA5 10005","7135","6895","5001","242","10","1480","2","160","240","224","53","12","105","5","18","4","4","0","6","0","0","0","5","12","0","16","5","5","0","0","0","0","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"8600000US10006","ZCTA5 10006","3011","2917","2088","137","4","591","0","97","94","84","12","4","43","2","6","4","5","0","1","1","0","0","2","4","0","10","7","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"8600000US10007","ZCTA5 10007","6988","6731","5281","471","5","878","6","90","257","237","29","5","164","2","8","6","3","0","4","0","2","0","3","11","0","20","7","3","0","3","0","0","0","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"8600000US10009","ZCTA5 10009","61347","58773","38077","6036","304","8377","33","5946","2574","2310","431","110","681","19","496","99","50","6","184","22","5","68","18","80","41","228","135","22","1","18","3","0","4","7","10","5","5","5","3","0","5","1","0","0","4","0","33","20","4","8","1","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","1","1",
"8600000US10010","ZCTA5 10010","31834","30819","23493","1877","69","4586","15","779","1015","934","172","45","429","5","110","29","36","3","37","4","0","4","14","43","3","73","30","15","2","2","5","0","1","6","3","0","0","0","1","0","1","1","0","0","0","6","7","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1",
"8600000US10011","ZCTA5 10011","50984","49417","40922","2348","110","4517","24","1496","1567","1413","261","91","622","8","211","39","32","3","50","16","4","14","9","43","10","141","78","8","0","12","7","0","2","7","14","2","5","0","4","0","2","0","0","0","0","0","8","6","0","0","0","0","0","1","0","0","0","0","1","0","0","0","5","4","1","0","0","0","0","0","0",
