"GEO_ID","NAME","P8_001N","P8_002N","P8_003N","P8_004N","P8_005N","P8_006N","P8_007N","P8_008N","P8_009N","P8_010N","P8_011N","P8_012N","P8_013N","P8_014N","P8_015N","P8_016N","P8_017N","P8_018N","P8_019N","P8_020N","P8_021N","P8_022N","P8_023N","P8_024N","P8_025N","P8_026N","P8_027N","P8_028N","P8_029N","P8_030N","P8_031N","P8_032N","P8_033N","P8_034N","P8_035N","P8_036N","P8_037N","P8_038N","P8_039N","P8_040N","P8_041N","P8_042N","P8_043N","P8_044N","P8_045N","P8_046N","P8_047N","P8_048N","P8_049N","P8_050N","P8_051N","P8_052N","P8_053N","P8_054N","P8_055N","P8_056N","P8_057N","P8_058N","P8_059N","P8_060N","P8_061N","P8_062N","P8_063N","P8_064N","P8_065N","P8_066N","P8_067N","P8_068N","P8_069N","P8_070N","P8_071N",
"860Z200US10001","ZCTA5 10001","32612","29742","17409","3691","131","6403","57","2051","2870","2620","247","70","441","7","1493","43","24","1","189","7","0","18","57","19","4","215","27","20","1","81","9","1","39","7","16","1","0","0","10","0","0","0","0","2","0","1","35","2","1","28","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US10002","ZCTA5 10002","82155","74781","22907","8260","440","33523","75","9576","7374","6710","539","167","913","27","3651","117","100","7","870","37","2","80","35","100","65","529","103","41","0","195","13","0","68","6","49","6","7","1","15","0","17","1","2","2","1","2","120","17","0","91","3","5","0","1","2","0","1","0","0","0","0","0","14","3","4","6","0","0","1","1","1",
"860Z200US10003","ZCTA5 10003","57076","52474","39636","2369","105","8189","34","2141","4602","4308","393","126","1122","21","1924","41","56","2","109","0","2","17","444","48","3","238","44","23","0","68","7","0","31","15","27","0","1","2","4","1","12","0","0","0","1","2","47","6","0","28","0","9","0","0","4","0","0","0","0","0","0","0","9","3","6","0","0","0","0","0","0",
"860Z200US10004","ZCTA5 10004","4287","3825","2549","209","8","937","6","116","462","421","34","18","143","2","186","1","8","0","17","0","0","4","5","3","0","40","6","5","0","8","1","0","8","5","5","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US10005","ZCTA5 10005","10639","9712","7008","431","16","1965","12","280","927","878","77","37","232","6","460","8","19","0","25","1","0","0","3","10","0","46","5","3","0","10","1","0","10","0","15","0","0","0","2","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US10006","ZCTA5 10006","4282","3846","2747","139","6","842","0","112","436","397","19","17","101","2","237","1","7","2","6","0","0","0","2","3","0","34","11","0","0","9","1","0","4","6","1","0","0","0","1","0","0","0","0","1","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US10007","ZCTA5 10007","8421","7636","5660","526","8","1306","10","126","785","737","43","17","284","0","350","3","5","0","5","0","0","2","8","19","1","42","7","4","0","7","1","0","3","3","14","0","1","0","1","0","1","0","0","0","0","0","5","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0",
"860Z200US10009","ZCTA5 10009","61716","54886","32561","5654","431","9421","58","6761","6830","6262","607","219","920","16","3551","73","64","4","619","5","0","59","33","56","36","479","120","42","2","133","4","1","74","8","48","2","8","0","20","0","9","4","0","4","0","0","79","8","0","66","0","2","0","0","3","0","0","0","0","0","0","0","10","3","3","4","0","0","0","0","0",
"860Z200US10010","ZCTA5 10010","33991","31010","22084","1876","58","5378","239","1375","2981","2835","237","74","668","1","1510","34","34","0","93","2","0","18","129","31","4","130","18","12","0","30","5","0","22","5","23","0","2","1","6","0","4","1","1","0","0","0","13","1","0","9","0","2","0","0","1","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0",
"860Z200US10011","ZCTA5 10011","53318","48647","38456","2407","145","5452","54","2133","4671","4379","350","172","981","10","2514","30","41","2","168","3","1","12","62","25","8","258","53","30","0","64","7","0","43","8","33","1","7","1","6","0","1","1","1","1","0","1","33","6","0","22","0","3","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
