ZIP Code,HUD Area Code,HUD Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
12007,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,020",$918,"$1,122","$1,140","$1,026","$1,254","$1,390","$1,251","$1,529","$1,680","$1,512","$1,848","$1,850","$1,665","$2,035"
12008,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,020",$918,"$1,122","$1,150","$1,035","$1,265","$1,390","$1,251","$1,529","$1,680","$1,512","$1,848","$1,850","$1,665","$2,035"
12009,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,060",$954,"$1,166","$1,190","$1,071","$1,309","$1,440","$1,296","$1,584","$1,740","$1,566","$1,914","$1,920","$1,728","$2,112"
12010,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$880,$792,$968,$980,$882,"$1,078","$1,190","$1,071","$1,309","$1,440","$1,296","$1,584","$1,590","$1,431","$1,749"
12018,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,100",$990,"$1,210","$1,230","$1,107","$1,353","$1,500","$1,350","$1,650","$1,810","$1,629","$1,991","$2,000","$1,800","$2,200"
12019,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,050",$945,"$1,155","$1,180","$1,062","$1,298","$1,430","$1,287","$1,573","$1,730","$1,557","$1,903","$1,900","$1,710","$2,090"
12020,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,230","$1,107","$1,353","$1,370","$1,233","$1,507","$1,670","$1,503","$1,837","$2,020","$1,818","$2,222","$2,220","$1,998","$2,442"
12022,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$900,$810,$990,"$1,000",$900,"$1,100","$1,250","$1,125","$1,375","$1,510","$1,359","$1,661","$1,780","$1,602","$1,958"
12023,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$880,$792,$968,$980,$882,"$1,078","$1,190","$1,071","$1,309","$1,440","$1,296","$1,584","$1,590","$1,431","$1,749"
12024,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$970,$873,"$1,067","$1,090",$981,"$1,199","$1,320","$1,188","$1,452","$1,600","$1,440","$1,760","$1,760","$1,584","$1,936"
12025,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$880,$792,$968,$980,$882,"$1,078","$1,190","$1,071","$1,309","$1,440","$1,296","$1,584","$1,590","$1,431","$1,749"
12027,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,410","$1,269","$1,551","$1,570","$1,413","$1,727","$1,910","$1,719","$2,101","$2,310","$2,079","$2,541","$2,540","$2,286","$2,794"
12028,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$910,$819,"$1,001","$1,010",$909,"$1,111","$1,240","$1,116","$1,364","$1,540","$1,386","$1,694","$1,660","$1,494","$1,826"
12031,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$880,$792,$968,$980,$882,"$1,078","$1,190","$1,071","$1,309","$1,440","$1,296","$1,584","$1,590","$1,431","$1,749"
12033,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA","$1,030",$927,"$1,133","$1,150","$1,035","$1,265","$1,400","$1,260","$1,540","$1,690","$1,521","$1,859","$1,860","$1,674","$2,046"
12035,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$900,$810,$990,"$1,010",$909,"$1,111","$1,230","$1,107","$1,353","$1,480","$1,332","$1,628","$1,630","$1,467","$1,793"
12036,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$880,$792,$968,$980,$882,"$1,078","$1,190","$1,071","$1,309","$1,440","$1,296","$1,584","$1,590","$1,431","$1,749"
12040,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$880,$792,$968,$980,$882,"$1,078","$1,190","$1,071","$1,309","$1,440","$1,296","$1,584","$1,590","$1,431","$1,749"
