"ZIP Code",HUD Area Code,HUD Fair Market Rent Area Name,"SAFMR 0BR","SAFMR 0BR - 90% Payment Standard","SAFMR 0BR - 110% Payment Standard","SAFMR 1BR","SAFMR 1BR - 90% Payment Standard","SAFMR 1BR - 110% Payment Standard","SAFMR 2BR","SAFMR 2BR - 90% Payment Standard","SAFMR 2BR - 110% Payment Standard","SAFMR 3BR","SAFMR 3BR - 90% Payment Standard","SAFMR 3BR - 110% Payment Standard","SAFMR 4BR","SAFMR 4BR - 90% Payment Standard","SAFMR 4BR - 110% Payment Standard"
76437,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
76443,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
76464,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
76469,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
79501,METRO10180M10180,"Abilene, TX MSA",$660,$594,$726,$700,$630,$770,$900,$810,$990,"$1,220","$1,098","$1,342","$1,480","$1,332","$1,628"
79503,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
79504,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
79508,METRO10180M10180,"Abilene, TX MSA",$680,$612,$748,$730,$657,$803,$940,$846,"$1,034","$1,270","$1,143","$1,397","$1,540","$1,386","$1,694"
79510,METRO10180M10180,"Abilene, TX MSA",$700,$630,$770,$740,$666,$814,$960,$864,"$1,056","$1,300","$1,170","$1,430","$1,570","$1,413","$1,727"
79519,METRO10180M10180,"Abilene, TX MSA",$740,$666,$814,$790,$711,$869,"$1,020",$918,"$1,122","$1,380","$1,242","$1,518","$1,670","$1,503","$1,837"
79520,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
79521,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
79525,METRO10180M10180,"Abilene, TX MSA",$680,$612,$748,$720,$648,$792,$930,$837,"$1,023","$1,260","$1,134","$1,386","$1,520","$1,368","$1,672"
79530,METRO10180M10180,"Abilene, TX MSA",$740,$666,$814,$790,$711,$869,"$1,020",$918,"$1,122","$1,380","$1,242","$1,518","$1,670","$1,503","$1,837"
79533,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
79536,METRO10180M10180,"Abilene, TX MSA",$750,$675,$825,$800,$720,$880,"$1,030",$927,"$1,133","$1,390","$1,251","$1,529","$1,690","$1,521","$1,859"
79541,METRO10180M10180,"Abilene, TX MSA",$720,$648,$792,$760,$684,$836,$990,$891,"$1,089","$1,330","$1,197","$1,463","$1,610","$1,449","$1,771"
79553,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
79560,METRO10180M10180,"Abilene, TX MSA",$750,$675,$825,$800,$720,$880,"$1,030",$927,"$1,133","$1,390","$1,251","$1,529","$1,690","$1,521","$1,859"
79561,METRO10180M10180,"Abilene, TX MSA",$620,$558,$682,$660,$594,$726,$860,$774,$946,"$1,160","$1,044","$1,276","$1,440","$1,296","$1,584"
79562,METRO10180M10180,"Abilene, TX MSA",$800,$720,$880,$850,$765,$935,"$1,100",$990,"$1,210","$1,490","$1,341","$1,639","$1,800","$1,620","$1,980"
79563,METRO10180M10180,"Abilene, TX MSA",$680,$612,$748,$730,$657,$803,$940,$846,"$1,034","$1,270","$1,143","$1,397","$1,540","$1,386","$1,694"
79566,METRO10180M10180,"Abilene, TX MSA",$740,$666,$814,$790,$711,$869,"$1,020",$918,"$1,122","$1,380","$1,242","$1,518","$1,670","$1,503","$1,837"
79567,METRO10180M10180,"Abilene, TX MSA",$630,$567,$693,$670,$603,$737,$870,$783,$957,"$1,180","$1,062","$1,298","$1,460","$1,314","$1,606"
79601,METRO10180M10180,"Abilene, TX MSA",$630,$567,$693,$670,$603,$737,$870,$783,$957,"$1,180","$1,062","$1,298","$1,440","$1,296","$1,584"
79602,METRO10180M10180,"Abilene, TX MSA",$730,$657,$803,$780,$702,$858,"$1,010",$909,"$1,111","$1,370","$1,233","$1,507","$1,660","$1,494","$1,826"
79603,METRO10180M10180,"Abilene, TX MSA",$720,$648,$792,$770,$693,$847,$990,$891,"$1,089","$1,340","$1,206","$1,474","$1,620","$1,458","$1,782"
79604,METRO10180M10180,"Abilene, TX MSA",$740,$666,$814,$790,$711,$869,"$1,020",$918,"$1,122","$1,380","$1,242","$1,518","$1,670","$1,503","$1,837"
79605,METRO10180M10180,"Abilene, TX MSA",$770,$693,$847,$820,$738,$902,"$1,060",$954,"$1,166","$1,430","$1,287","$1,573","$1,740","$1,566","$1,914"
79606,METRO10180M10180,"Abilene, TX MSA",$790,$711,$869,$840,$756,$924,"$1,080",$972,"$1,188","$1,460","$1,314","$1,606","$1,770","$1,593","$1,947"
79607,METRO10180M10180,"Abilene, TX MSA",$980,$882,"$1,078","$1,050",$945,"$1,155","$1,350","$1,215","$1,485","$1,830","$1,647","$2,013","$2,210","$1,989","$2,431"
79608,METRO10180M10180,"Abilene, TX MSA",$740,$666,$814,$790,$711,$869,"$1,020",$918,"$1,122","$1,380","$1,242","$1,518","$1,670","$1,503","$1,837"
79699,METRO10180M10180,"Abilene, TX MSA",$630,$567,$693,$670,$603,$737,$870,$783,$957,"$1,180","$1,062","$1,298","$1,440","$1,296","$1,584"
00601,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$380,$342,$418,$390,$351,$429,$440,$396,$484,$640,$576,$704,$710,$639,$781
00602,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$360,$324,$396,$400,$360,$440,$460,$414,$506,$570,$513,$627,$640,$576,$704
00603,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$430,$387,$473,$470,$423,$517,$540,$486,$594,$660,$594,$726,$750,$675,$825
00604,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$440,$396,$484,$480,$432,$528,$550,$495,$605,$680,$612,$748,$770,$693,$847
00605,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$440,$396,$484,$480,$432,$528,$550,$495,$605,$680,$612,$748,$770,$693,$847
00610,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$400,$360,$440,$430,$387,$473,$500,$450,$550,$620,$558,$682,$700,$630,$770
00611,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$380,$342,$418,$420,$378,$462,$480,$432,$528,$590,$531,$649,$670,$603,$737
00612,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$420,$378,$462,$430,$387,$473,$490,$441,$539,$650,$585,$715,$790,$711,$869
00631,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$360,$324,$396,$390,$351,$429,$440,$396,$484,$590,$531,$649,$680,$612,$748
00641,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$380,$342,$418,$420,$378,$462,$480,$432,$528,$590,$531,$649,$680,$612,$748
00650,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$470,$423,$517,$480,$432,$528,$550,$495,$605,$760,$684,$836,$910,$819,"$1,001"
00662,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$400,$360,$440,$430,$387,$473,$500,$450,$550,$620,$558,$682,$700,$630,$770
00664,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$360,$324,$396,$390,$351,$429,$450,$405,$495,$550,$495,$605,$630,$567,$693
00669,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$380,$342,$418,$420,$378,$462,$480,$432,$528,$590,$531,$649,$740,$666,$814
00670,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$380,$342,$418,$390,$351,$429,$440,$396,$484,$550,$495,$605,$740,$666,$814
00676,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$360,$324,$396,$390,$351,$429,$450,$405,$495,$550,$495,$605,$630,$567,$693
00677,METRO10380M10380,"Aguadilla-Isabela, PR MSA",$400,$360,$440,$440,$396,$484,$510,$459,$561,$630,$567,$693,$710,$639,$781
