ZIP Code,HUD Area Code,HUD Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
12007,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$780,$702,$858,$920,$828,"$1,012","$1,130","$1,017","$1,243","$1,420","$1,278","$1,562","$1,530","$1,377","$1,683"
12008,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$720,$648,$792,$840,$756,$924,"$1,040",$936,"$1,144","$1,300","$1,170","$1,430","$1,410","$1,269","$1,551"
12009,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$830,$747,$913,$980,$882,"$1,078","$1,210","$1,089","$1,331","$1,520","$1,368","$1,672","$1,640","$1,476","$1,804"
12010,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$630,$567,$693,$760,$684,$836,$930,$837,"$1,023","$1,170","$1,053","$1,287","$1,270","$1,143","$1,397"
12018,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$910,$819,"$1,001","$1,070",$963,"$1,177","$1,320","$1,188","$1,452","$1,650","$1,485","$1,815","$1,780","$1,602","$1,958"
12019,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$790,$711,$869,$930,$837,"$1,023","$1,150","$1,035","$1,265","$1,440","$1,296","$1,584","$1,550","$1,395","$1,705"
12020,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$850,$765,$935,"$1,010",$909,"$1,111","$1,240","$1,116","$1,364","$1,550","$1,395","$1,705","$1,680","$1,512","$1,848"
12022,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$710,$639,$781,$830,$747,$913,"$1,030",$927,"$1,133","$1,290","$1,161","$1,419","$1,390","$1,251","$1,529"
12023,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$750,$675,$825,$880,$792,$968,"$1,080",$972,"$1,188","$1,360","$1,224","$1,496","$1,460","$1,314","$1,606"
12024,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$740,$666,$814,$880,$792,$968,"$1,080",$972,"$1,188","$1,350","$1,215","$1,485","$1,460","$1,314","$1,606"
12025,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$630,$567,$693,$760,$684,$836,$930,$837,"$1,023","$1,170","$1,053","$1,287","$1,270","$1,143","$1,397"
12027,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$880,$792,$968,"$1,040",$936,"$1,144","$1,280","$1,152","$1,408","$1,600","$1,440","$1,760","$1,730","$1,557","$1,903"
12028,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",$700,$630,$770,$820,$738,$902,"$1,020",$918,"$1,122","$1,290","$1,161","$1,419","$1,400","$1,260","$1,540"
