Total,Owner Occupied,Owner occupied: Moved in 2021 or later,Owner occupied: Moved in 2018 to 2020,Owner occupied: Moved in 2010 to 2017,Owner occupied: Moved in 2000 to 2009,Owner occupied: Moved in 1990 to 1999,Owner occupied: Moved in 1989 or earlier,Rent Occupied,Renter occupied: Moved in 2021 or later,Renter occupied: Moved in 2018 to 2020,Renter occupied: Moved in 2010 to 2017,Renter occupied: Moved in 2000 to 2009,Renter occupied: Moved in 1990 to 1999,Renter occupied: Moved in 1989 or earlier,ZIP Code
17,3,0,0,0,3,0,0,14,0,0,14,0,0,0,06390
"15,097","3,570",258,715,"1,106",787,372,332,"11,527","2,319","3,526","3,241","1,181",609,651,10001
"35,771","6,660",339,597,"1,506","1,488","1,402","1,328","29,111","2,538","5,930","6,925","4,996","3,300","5,422",10002
"25,080","8,701",628,844,"2,085","1,970","1,734","1,440","16,379","3,313","4,912","3,282","1,318","1,371","2,183",10003
"1,775",630,47,243,195,141,0,4,"1,145",217,452,435,14,27,0,10004
"5,156",880,40,193,349,181,117,0,"4,276","1,151","2,160",683,137,87,58,10005
"2,305",402,31,91,196,84,0,0,"1,903",675,471,567,141,49,0,10006
"3,309","1,159",211,259,273,182,61,173,"2,150",642,632,658,138,48,32,10007
"30,025","2,687",136,346,572,296,284,"1,053","27,338","3,519","7,306","5,126","2,849","3,499","5,039",10009
"16,192","4,453",204,709,"1,065",754,755,966,"11,739","2,293","3,052","2,743",797,960,"1,894",10010
"28,277","10,180",487,"1,319","2,861","2,264","1,573","1,676","18,097","3,349","4,945","4,113","1,855","1,281","2,554",10011
"11,909","2,562",189,348,820,332,364,509,"9,347","1,691","2,578","2,068",617,"1,003","1,390",10012
"12,609","3,723",260,358,"1,282",781,328,714,"8,886","1,425","2,076","1,977","1,412",469,"1,527",10013
"17,682","5,052",496,523,"1,297","1,040",934,762,"12,630","2,520","3,164","2,919","1,133","1,147","1,747",10014
"30,164","8,345",646,"1,350","2,525","1,674","1,031","1,119","21,819","6,060","7,004","4,579","1,650","1,081","1,445",10016
"9,529","2,914",114,594,833,542,514,317,"6,615","1,286","2,363","1,384",537,272,773,10017
"4,901",580,13,45,162,92,154,114,"4,321","1,051","1,557","1,268",297,21,127,10018
"26,900","5,813",583,704,"1,688","1,433",811,594,"21,087","3,608","6,627","5,102","2,156","1,819","1,775",10019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020
"20,319","9,165",657,"1,855","2,150","1,556","1,602","1,345","11,154","2,537","3,518","2,519",494,716,"1,370",10021
"18,627","9,017",709,"1,035","3,161","1,691","1,238","1,183","9,610","1,923","2,757","2,935",793,380,822,10022
"36,881","14,576",578,"2,098","5,051","2,581","2,380","1,888","22,305","4,426","5,957","5,974","1,477","1,727","2,744",10023
"29,447","11,398",658,"1,329","2,525","2,320","1,981","2,585","18,049","3,604","4,776","4,146","1,204","1,238","3,081",10024
"41,029","12,584",703,"1,295","3,063","2,610","1,894","3,019","28,445","4,324","5,818","5,736","2,499","3,380","6,688",10025
"15,537","3,574",329,335,"1,284","1,141",262,223,"11,963","1,611","2,325","2,968","2,090","1,697","1,272",10026
"24,509","3,846",130,290,"1,540",811,628,447,"20,663","2,597","4,002","5,417","3,658","2,371","2,618",10027
"24,901","9,447",587,"1,275","2,126","2,067","1,865","1,527","15,454","2,646","5,021","3,422",953,"1,273","2,139",10028
"33,098","2,304",63,280,835,672,198,256,"30,794","2,455","5,557","9,165","6,318","3,547","3,752",10029
"13,180","1,754",70,383,321,637,222,121,"11,426","1,063","1,637","2,997","2,936","1,964",829,10030
